   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6971    0.005    0.000    0.028    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:78(__exit__)
     3688    0.005    0.000    0.008    0.000 <frozen posixpath>:71(join)
    14065    0.005    0.000    0.005    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     6971    0.005    0.000    0.028    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:72(__enter__)
     5626    0.005    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1768(ravel)
      260    0.005    0.000    0.006    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:1158(make_overload_attribute_template)
      325    0.005    0.000    0.027    0.000 <frozen posixpath>:421(_joinrealpath)
     1871    0.005    0.000    0.006    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/functions.py:245(__init__)
    33756    0.005    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:584(_transpose_dispatcher)
      107    0.005    0.000    0.006    0.000 {built-in method builtins.eval}
    16880    0.005    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:20(__init__)
       51    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
      297    0.005    0.000    0.207    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
    18128    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
    414/1    0.004    0.000    6.738    6.738 {built-in method builtins.exec}
     2813    0.004    0.000    0.011    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/linalg/linalg.py:215(_assert_finite)
     5626    0.004    0.000    0.212    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:947(general_hamming)
       87    0.004    0.000    0.009    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/collections/__init__.py:350(namedtuple)
       37    0.004    0.000    0.004    0.000 {built-in method _pickle.load}
     2813    0.004    0.000    0.007    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/linalg/linalg.py:159(_commonType)
     5626    0.004    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:58(_view_roi)
    11252    0.004    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:120(<genexpr>)
     9696    0.004    0.000    0.004    0.000 {built-in method numpy.empty}
    11252    0.004    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:109(<genexpr>)
6471/3365    0.004    0.000    0.012    0.000 {method 'format' of 'str' objects}
      439    0.004    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
     5626    0.004    0.000    0.011    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
     2500    0.004    0.000    0.004    0.000 {method 'sort' of 'numpy.ndarray' objects}
   215/52    0.004    0.000    0.009    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_parser.py:516(_parse)
    20943    0.004    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/multiarray.py:1080(copyto)
 2970/476    0.003    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:318(_rec_list_vars)
     4063    0.003    0.000    0.017    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
     8439    0.003    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:1855(isscalar)
    25317    0.003    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/multiarray.py:669(result_type)
    27523    0.003    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:96(key)
     2052    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
2301/2296    0.003    0.000    0.019    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:61(__call__)
     8439    0.003    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/type_check.py:302(iscomplexobj)
